IDCREDITO,Duracao,HISTORICO,PROPOSITO,Valor,INVESTIMENTOS,EMPREGO,TempoParcelamento,ESTADOCIVIL,FIADOR,ResidenciaDesde,Idade,OUTROSFINANCIAMENTOS,HABITACAO,EmprestimoExistente,PROFISSAO,Dependentes,SocioEmpresa,Estrangeiro,Status
89,18,existentes/pagos,veiculo novo,2249,100<=X<500,4<=X<7,4,masculino solteiro,nao,3,30,nenhum,proria,1,altamente qualificado/empresario,2,1,0,1
90,12,sem creditos/todos pagos,reforma casa,1108,"<100
",4<=X<7,4,masculino solteiro,nao,3,28,nenhum,proria,2,qualificado,1,0,0,0
91,12,Critico-outros creditos,reforma,618,"<100
",>=7,4,masculino solteiro,nao,4,56,nenhum,proria,1,qualificado,1,0,0,1
92,12,Critico-outros creditos,veiculo usado,1409,"<100
",>=7,4,masculino solteiro,nao,3,54,nenhum,proria,1,qualificado,1,0,0,1
93,12,Critico-outros creditos,reforma,797,"Desconhecido
",>=7,4,feminino div/dep/cas,nao,3,33,banco,proria,1,nao qualificado,2,0,0,0
94,24,Critico-outros creditos,moveis,3617,"Desconhecido
",>=7,4,masculino solteiro,co requerente,4,20,nenhum,alugada,2,qualificado,1,0,0,1
96,54,sem creditos/todos pagos,abrir negocio,15945,"<100
",<1,3,masculino solteiro,nao,4,58,nenhum,alugada,1,qualificado,1,1,0,0
97,12,Critico-outros creditos,educacao,2012,"Desconhecido
",4<=X<7,4,feminino div/dep/cas,nao,2,61,nenhum,proria,1,qualificado,1,0,0,1
98,18,existentes/pagos,abrir negocio,2622,100<=X<500,1<=X<4,4,masculino solteiro,nao,4,34,nenhum,proria,1,qualificado,1,0,0,1
99,36,Critico-outros creditos,reforma,2337,"<100
",>=7,4,masculino solteiro,nao,4,36,nenhum,proria,1,qualificado,1,0,0,1
100,20,Atrasos anteriores,veiculo usado,7057,"Desconhecido
",4<=X<7,3,masculino solteiro,nao,4,36,banco,alugada,2,altamente qualificado/empresario,2,1,0,1
101,24,existentes/pagos,veiculo novo,1469,100<=X<500,>=7,4,masculino cas/viu,nao,4,41,nenhum,alugada,1,nao qualificado,1,0,0,1
102,36,existentes/pagos,reforma,2323,"<100
",4<=X<7,4,masculino solteiro,nao,4,24,nenhum,alugada,1,qualificado,1,0,0,1
103,6,Atrasos anteriores,reforma,932,"<100
",1<=X<4,3,feminino div/dep/cas,nao,2,24,nenhum,proria,1,qualificado,1,0,0,1
104,9,Critico-outros creditos,moveis,1919,"<100
",4<=X<7,4,masculino solteiro,nao,3,35,nenhum,alugada,1,qualificado,1,1,0,1
105,12,existentes/pagos,veiculo usado,2445,"Desconhecido
",<1,2,masculino cas/viu,nao,4,26,nenhum,alugada,1,qualificado,1,1,0,1
106,24,Critico-outros creditos,outros,11938,"<100
",1<=X<4,2,masculino solteiro,co aplicante,3,39,nenhum,proria,2,altamente qualificado/empresario,2,1,0,0
107,18,todos pagos,veiculo novo,6458,"<100
",>=7,2,masculino solteiro,nao,4,39,banco,proria,2,altamente qualificado/empresario,2,1,0,0
108,12,existentes/pagos,veiculo novo,6078,"<100
",4<=X<7,2,masculino solteiro,nao,2,32,nenhum,proria,1,qualificado,1,0,0,1
109,24,existentes/pagos,moveis,7721,"Desconhecido
",<1,1,feminino div/dep/cas,nao,2,30,nenhum,proria,1,qualificado,1,1,1,1
110,14,existentes/pagos,abrir negocio,1410,500<=X<1000,>=7,1,masculino cas/viu,nao,2,35,nenhum,proria,1,qualificado,1,1,0,1
111,6,Atrasos anteriores,abrir negocio,1449,100<=X<500,>=7,1,maculino div/dep,nao,2,31,banco,proria,2,qualificado,2,0,0,1
112,15,existentes/pagos,educacao,392,"<100
",<1,4,feminino div/dep/cas,nao,4,23,nenhum,alugada,1,qualificado,1,1,0,1
113,18,existentes/pagos,veiculo novo,6260,"<100
",4<=X<7,3,masculino solteiro,nao,3,28,nenhum,alugada,1,nao qualificado,1,0,0,1
114,36,Critico-outros creditos,veiculo novo,7855,"<100
",1<=X<4,4,feminino div/dep/cas,nao,2,25,loja,proria,2,qualificado,1,1,0,0
115,12,existentes/pagos,reforma,1680,500<=X<1000,>=7,3,masculino cas/viu,nao,1,35,nenhum,proria,1,qualificado,1,0,0,1
116,48,Critico-outros creditos,reforma,3578,"Desconhecido
",>=7,4,masculino solteiro,nao,1,47,nenhum,proria,1,qualificado,1,1,0,1
117,42,existentes/pagos,reforma,7174,"Desconhecido
",4<=X<7,4,feminino div/dep/cas,nao,3,30,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
118,10,Critico-outros creditos,moveis,2132,"Desconhecido
",<1,2,feminino div/dep/cas,co requerente,3,27,nenhum,alugada,2,qualificado,1,0,1,1
119,33,Critico-outros creditos,moveis,4281,500<=X<1000,1<=X<4,1,feminino div/dep/cas,nao,4,23,nenhum,proria,2,qualificado,1,0,0,0
120,12,Critico-outros creditos,veiculo novo,2366,500<=X<1000,4<=X<7,3,maculino div/dep,nao,3,36,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
121,21,existentes/pagos,reforma,1835,"<100
",1<=X<4,3,feminino div/dep/cas,nao,2,25,nenhum,proria,2,qualificado,1,1,0,0
122,24,Critico-outros creditos,veiculo usado,3868,"<100
",>=7,4,feminino div/dep/cas,nao,2,41,nenhum,alugada,2,altamente qualificado/empresario,1,1,0,1
123,12,existentes/pagos,moveis,1768,"<100
",1<=X<4,3,masculino solteiro,nao,2,24,nenhum,alugada,1,nao qualificado,1,0,0,1
124,10,Critico-outros creditos,veiculo novo,781,"<100
",>=7,4,masculino solteiro,nao,4,63,nenhum,de graca,2,qualificado,1,1,0,1
125,18,existentes/pagos,moveis,1924,"Desconhecido
",<1,4,feminino div/dep/cas,nao,3,27,nenhum,alugada,1,qualificado,1,0,0,0
126,12,Critico-outros creditos,veiculo novo,2121,"<100
",1<=X<4,4,masculino solteiro,nao,2,30,nenhum,proria,2,qualificado,1,0,0,1
127,12,existentes/pagos,reforma,701,"<100
",1<=X<4,4,masculino cas/viu,nao,2,40,nenhum,proria,1,nao qualificado,1,0,0,1
128,12,existentes/pagos,reforma casa,639,"<100
",1<=X<4,4,masculino solteiro,nao,2,30,nenhum,proria,1,qualificado,1,0,0,0
129,12,Critico-outros creditos,veiculo usado,1860,"<100
",Desempregado,4,masculino solteiro,nao,2,34,nenhum,proria,2,altamente qualificado/empresario,1,1,0,1
130,12,Critico-outros creditos,veiculo novo,3499,"<100
",1<=X<4,3,feminino div/dep/cas,co requerente,2,29,nenhum,proria,2,qualificado,1,0,0,0
131,48,existentes/pagos,veiculo novo,8487,"Desconhecido
",4<=X<7,1,feminino div/dep/cas,nao,2,24,nenhum,proria,1,qualificado,1,0,0,1
132,36,Atrasos anteriores,educacao,6887,"<100
",1<=X<4,4,masculino solteiro,nao,3,29,loja,proria,1,qualificado,1,1,0,0
133,15,existentes/pagos,moveis,2708,"<100
",<1,2,masculino solteiro,nao,3,27,banco,proria,2,nao qualificado,1,0,0,1
134,18,existentes/pagos,moveis,1984,"<100
",1<=X<4,4,masculino solteiro,nao,4,47,banco,de graca,2,qualificado,1,0,0,1
135,60,existentes/pagos,reforma,10144,100<=X<500,4<=X<7,2,feminino div/dep/cas,nao,4,21,nenhum,proria,1,qualificado,1,1,0,1
136,12,Critico-outros creditos,reforma,1240,"Desconhecido
",>=7,4,feminino div/dep/cas,nao,2,38,nenhum,proria,2,qualificado,1,1,0,1
137,27,Atrasos anteriores,veiculo usado,8613,>=1000,1<=X<4,2,masculino solteiro,nao,2,27,nenhum,proria,2,qualificado,1,0,0,1
138,12,existentes/pagos,reforma,766,500<=X<1000,1<=X<4,4,masculino solteiro,nao,3,66,nenhum,proria,1,nao qualificado,1,0,0,0
139,15,Critico-outros creditos,reforma,2728,"Desconhecido
",4<=X<7,4,masculino solteiro,sim,2,35,banco,proria,3,qualificado,1,1,0,1
140,12,existentes/pagos,reforma,1881,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,44,nenhum,alugada,1,nao qualificado,1,1,0,1
78,11,Atrasos anteriores,reforma,4771,"<100
",NULL,2,masculino solteiro,nao,4,51,nenhum,proria,1,qualificado,1,0,0,1
141,6,existentes/pagos,veiculo novo,709,>=1000,<1,2,masculino cas/viu,nao,2,27,nenhum,proria,1,desempregado,1,0,1,1
142,36,existentes/pagos,reforma,4795,"<100
",<1,4,feminino div/dep/cas,nao,1,30,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
143,27,existentes/pagos,reforma,3416,"<100
",1<=X<4,3,masculino solteiro,nao,2,27,nenhum,proria,1,altamente qualificado/empresario,1,0,0,1
144,18,existentes/pagos,moveis,2462,"<100
",1<=X<4,2,masculino solteiro,nao,2,22,nenhum,proria,1,qualificado,1,0,0,0
146,48,todos pagos,abrir negocio,3566,100<=X<500,4<=X<7,4,masculino solteiro,nao,2,30,nenhum,proria,1,qualificado,1,0,0,1
147,6,Critico-outros creditos,veiculo novo,860,"<100
",>=7,1,feminino div/dep/cas,nao,4,39,nenhum,proria,2,qualificado,1,1,0,1
148,12,Critico-outros creditos,veiculo novo,682,100<=X<500,4<=X<7,4,feminino div/dep/cas,nao,3,51,nenhum,proria,2,qualificado,1,1,0,1
149,36,Critico-outros creditos,moveis,5371,"<100
",1<=X<4,3,masculino solteiro,sim,2,28,nenhum,proria,2,qualificado,1,0,0,1
150,18,Critico-outros creditos,reforma,1582,>=1000,>=7,4,masculino solteiro,nao,4,46,nenhum,proria,2,qualificado,1,0,0,1
151,6,existentes/pagos,reforma,1346,100<=X<500,>=7,2,masculino solteiro,nao,4,42,banco,de graca,1,qualificado,2,1,0,1
152,10,existentes/pagos,reforma,1924,"<100
",1<=X<4,1,masculino solteiro,nao,4,38,nenhum,proria,1,qualificado,1,1,1,1
153,36,existentes/pagos,reforma,5848,"<100
",1<=X<4,4,masculino solteiro,nao,1,24,nenhum,proria,1,qualificado,1,0,0,1
154,24,Critico-outros creditos,veiculo usado,7758,>=1000,>=7,2,feminino div/dep/cas,nao,4,29,nenhum,alugada,1,qualificado,1,0,0,1
155,24,Atrasos anteriores,abrir negocio,6967,100<=X<500,4<=X<7,4,masculino solteiro,nao,4,36,nenhum,alugada,1,altamente qualificado/empresario,1,1,0,1
156,12,existentes/pagos,moveis,1282,"<100
",1<=X<4,2,feminino div/dep/cas,nao,4,20,nenhum,alugada,1,qualificado,1,0,0,0
157,9,Critico-outros creditos,reforma casa,1288,100<=X<500,>=7,3,masculino solteiro,sim,4,48,nenhum,proria,2,qualificado,2,0,1,1
158,12,todos pagos,qualificacao,339,"<100
",>=7,4,masculino cas/viu,nao,1,45,banco,proria,1,nao qualificado,1,0,0,1
159,24,existentes/pagos,veiculo novo,3512,100<=X<500,4<=X<7,2,masculino solteiro,nao,3,38,banco,proria,2,qualificado,1,1,0,1
160,6,Critico-outros creditos,reforma,1898,"Desconhecido
",1<=X<4,1,masculino solteiro,nao,2,34,nenhum,proria,2,nao qualificado,2,0,0,1
161,24,Critico-outros creditos,reforma,2872,100<=X<500,>=7,3,masculino solteiro,nao,4,36,nenhum,proria,1,qualificado,2,1,0,1
162,18,Critico-outros creditos,veiculo novo,1055,"<100
",<1,4,feminino div/dep/cas,nao,1,30,nenhum,proria,2,qualificado,1,0,0,1
163,15,existentes/pagos,quitar divida,1262,500<=X<1000,4<=X<7,4,masculino solteiro,nao,3,36,nenhum,proria,2,qualificado,1,1,0,1
164,10,existentes/pagos,veiculo novo,7308,"<100
",Desempregado,2,masculino solteiro,nao,4,70,banco,de graca,1,altamente qualificado/empresario,1,1,0,1
165,36,existentes/pagos,veiculo novo,909,500<=X<1000,>=7,4,masculino solteiro,nao,4,36,nenhum,proria,1,qualificado,1,0,0,1
166,6,existentes/pagos,moveis,2978,500<=X<1000,1<=X<4,1,masculino solteiro,nao,2,32,nenhum,proria,1,qualificado,1,1,0,1
167,18,existentes/pagos,moveis,1131,"<100
",Desempregado,4,feminino div/dep/cas,nao,2,33,nenhum,proria,1,qualificado,1,0,0,0
168,11,existentes/pagos,moveis,1577,>=1000,<1,4,feminino div/dep/cas,nao,1,20,nenhum,proria,1,qualificado,1,0,0,1
170,24,Critico-outros creditos,abrir negocio,1935,"<100
",>=7,4,maculino div/dep,nao,4,31,nenhum,proria,2,qualificado,1,1,0,0
171,15,sem creditos/todos pagos,veiculo novo,950,"<100
",>=7,4,masculino solteiro,nao,3,33,nenhum,alugada,2,qualificado,2,0,0,0
172,12,existentes/pagos,moveis,763,"<100
",1<=X<4,4,feminino div/dep/cas,nao,1,26,nenhum,proria,1,qualificado,1,1,0,1
173,24,Atrasos anteriores,moveis,2064,"<100
",Desempregado,3,feminino div/dep/cas,nao,2,34,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
175,21,Atrasos anteriores,educacao,3414,"<100
",<1,2,masculino solteiro,nao,1,26,nenhum,proria,2,qualificado,1,0,0,0
176,30,todos pagos,veiculo usado,7485,"Desconhecido
",Desempregado,4,feminino div/dep/cas,nao,1,53,banco,proria,1,altamente qualificado/empresario,1,1,0,0
177,12,existentes/pagos,moveis,2577,"<100
",1<=X<4,2,maculino div/dep,nao,1,42,nenhum,proria,1,qualificado,1,0,0,1
178,6,Critico-outros creditos,reforma,338,500<=X<1000,>=7,4,masculino solteiro,nao,4,52,nenhum,proria,2,qualificado,1,0,0,1
179,12,existentes/pagos,reforma,1963,"<100
",4<=X<7,4,masculino solteiro,nao,2,31,nenhum,alugada,2,altamente qualificado/empresario,2,1,0,1
180,21,Critico-outros creditos,veiculo novo,571,"<100
",>=7,4,masculino solteiro,nao,4,65,nenhum,proria,2,qualificado,1,0,0,1
181,36,Atrasos anteriores,abrir negocio,9572,"<100
",<1,1,maculino div/dep,nao,1,28,nenhum,proria,2,qualificado,1,0,0,0
182,36,Atrasos anteriores,abrir negocio,4455,"<100
",1<=X<4,2,maculino div/dep,nao,2,30,loja,proria,2,altamente qualificado/empresario,1,1,0,0
183,21,todos pagos,veiculo novo,1647,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,2,40,nenhum,proria,2,nao qualificado,2,0,0,0
184,24,Critico-outros creditos,moveis,3777,>=1000,1<=X<4,4,masculino solteiro,nao,4,50,nenhum,proria,1,qualificado,1,1,0,1
185,18,Critico-outros creditos,veiculo novo,884,"<100
",>=7,4,masculino solteiro,nao,4,36,banco,proria,1,qualificado,2,1,0,0
186,15,Critico-outros creditos,reforma,1360,"<100
",1<=X<4,4,masculino solteiro,nao,2,31,nenhum,proria,2,qualificado,1,0,0,1
187,9,todos pagos,veiculo usado,5129,"<100
",>=7,2,feminino div/dep/cas,nao,4,74,banco,de graca,1,altamente qualificado/empresario,2,1,0,0
188,16,Critico-outros creditos,veiculo novo,1175,"<100
",Desempregado,2,masculino solteiro,nao,3,68,nenhum,de graca,3,desempregado,1,1,0,1
189,12,existentes/pagos,reforma,674,100<=X<500,4<=X<7,4,masculino cas/viu,nao,1,20,nenhum,proria,1,qualificado,1,0,0,0
190,18,sem creditos/todos pagos,moveis,3244,"<100
",1<=X<4,1,feminino div/dep/cas,nao,4,33,banco,proria,2,qualificado,1,1,0,1
